MAKE,MODEL,VEHICLE_CLASS,ENGINE_SIZE,CYLINDERS,TRANSMISSION,FUEL,COEMISSIONS,CONSUMPTION
BMW,Z3,SUBCOMPACT,2.5,6,A4,Z,278,14
BMW,Z3,SUBCOMPACT,2.5,6,M5,Z,267,13.4
BMW,Z3,SUBCOMPACT,2.8,6,A4,Z,278,13.9
BMW,Z3,SUBCOMPACT,2.8,6,M5,Z,278,13.9
BMW,Z8,TWO-SEATER,4.9,8,M6,Z,380,19.3
BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,255,13.1
BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,265,13.8
BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,276,14.4
BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,290,15.1
BUICK,REGAL,MID-SIZE,3.8,6,A4,X,262,13.5
BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,290,15.1
CADILLAC,CATERA,MID-SIZE,3,6,A4,Z,294,14.7
CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,Z,297,15.5
CADILLAC,ELDORADO,MID-SIZE,4.6,8,A4,Z,297,15.5
CADILLAC,ESCALADE 4X4,SUV,5.7,8,A4,X,430,21.2
CADILLAC,SEVILLE,MID-SIZE,4.6,8,A4,Z,297,15.5
CHEVROLET,ASTRO AWD CARGO,VAN - CARGO,4.3,6,A4,X,350,17
CHEVROLET,ASTRO AWD PASSENGER,VAN - PASSENGER,4.3,6,A4,X,359,17.4
CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,A4,X,336,16.2
CHEVROLET,ASTRO PASSENGER,VAN - PASSENGER,4.3,6,A4,X,368,17.7
CHEVROLET,BLAZER,SUV,4.3,6,A4,X,336,16.2
CHEVROLET,BLAZER,SUV,4.3,6,M5,X,327,16.3
CHEVROLET,BLAZER 4X4,SUV,4.3,6,A4,X,350,16.9
CHEVROLET,BLAZER 4X4,SUV,4.3,6,M5,X,386,18.7
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,368,17.7
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,M5,X,384,18.5
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,334,16.3
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,373,18.9
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,343,16.7
CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,373,17.9
CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,6,8,A4,X,435,21.4
CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,A4,X,269,13.9
CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,M5,X,262,13.7
CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,A4,Z,306,15.4
CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,M6,Z,285,14.7
CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,A4,X,232,11.6
CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,M5,X,235,12.2
CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,A4,X,248,12.5
CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,M5,X,235,12.1
CHEVROLET,CAVALIER BIFUEL,SUBCOMPACT,2.2,4,A3,X,242,11.8
CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,A4,Z,308,15.5
CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,M6,Z,278,14.4
CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,4.3,6,A4,X,368,17.8
CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5,8,A4,X,373,18.2
CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.7,8,A4,X,398,19.3
CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,4.3,6,A4,X,380,18.3
CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5,8,A4,X,384,18.5
CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.7,8,A4,X,426,20.6
CHEVROLET,IMPALA,FULL-SIZE,3.4,6,A4,X,260,13.6
CHEVROLET,IMPALA,FULL-SIZE,3.8,6,A4,X,262,13.5
CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,350,17
CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,386,18.7
CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,366,17.3
CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,405,20.1
CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,377,18
CHEVROLET,K1500 TAHOE 4X4,SUV,5.7,8,A4,X,430,21.1
CHEVROLET,LUMINA/MONTE CARLO,MID-SIZE,3.4,6,A4,X,260,13.6
CHEVROLET,LUMINA/MONTE CARLO,MID-SIZE,3.8,6,A4,X,262,13.5
CHEVROLET,MALIBU,MID-SIZE,3.1,6,A4,X,255,13.1
CHEVROLET,METRO,SUBCOMPACT,1,3,M5,X,147,7.1
CHEVROLET,METRO,SUBCOMPACT,1.3,4,A3,X,191,9.1
CHEVROLET,METRO,SUBCOMPACT,1.3,4,M5,X,156,7.6
CHEVROLET,NEW C1500 SUBURBAN,SUV,5.3,8,A4,X,391,18.9
CHEVROLET,NEW C1500 TAHOE,SUV,4.8,8,A4,X,391,18.7
CHEVROLET,NEW C1500 TAHOE,SUV,5.3,8,A4,X,391,18.9
CHEVROLET,NEW K1500 TAHOE 4X4,SUV,4.8,8,A4,X,391,18.7
CHEVROLET,NEW K1500 TAHOE 4X4,SUV,5.3,8,A4,X,391,18.9
CHEVROLET,S10,PICKUP TRUCK - SMALL,2.2,4,A4,X,278,13.8
CHEVROLET,S10,PICKUP TRUCK - SMALL,2.2,4,M5,X,246,12.2
CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,A4,X,313,15.4
CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,M5,X,322,16.1
CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,345,16.8
CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,329,16.3
CHEVROLET,TRACKER 4X4,SUV,2,4,A4,X,251,11.7
CHEVROLET,TRACKER 4X4,SUV,2,4,M5,X,255,11.9
CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,1.6,4,M5,X,228,10.5
CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,2,4,A4,X,251,11.7
CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,2,4,M5,X,255,11.9
CHEVROLET,VENTURE,MINIVAN,3.4,6,A4,X,281,14
CHRYSLER,300M,FULL-SIZE,3.5,6,AS4,X,283,14.4
CHRYSLER,CIRRUS,MID-SIZE,2.4,4,A4,X,265,13.4
CHRYSLER,CIRRUS,MID-SIZE,2.5,6,A4,X,269,13.6
CHRYSLER,CONCORDE,FULL-SIZE,2.7,6,A4,X,260,13.2
CHRYSLER,CONCORDE,FULL-SIZE,3.2,6,A4,X,276,14.2
CHRYSLER,INTREPID,FULL-SIZE,2.7,6,A4,X,260,13.2
CHRYSLER,INTREPID,FULL-SIZE,2.7,6,AS4,X,258,13.2
CHRYSLER,INTREPID,FULL-SIZE,3.2,6,AS4,X,274,14.2
CHRYSLER,INTREPID,FULL-SIZE,3.5,6,AS4,X,283,14.4
CHRYSLER,LHS,FULL-SIZE,3.5,6,A4,X,288,14.7
CHRYSLER,NEON,COMPACT,2,4,A3,X,223,10.9
CHRYSLER,NEON,COMPACT,2,4,M5,X,198,9.6
CHRYSLER,PT CRUISER,SUBCOMPACT,2.4,4,A4,X,276,13.4
CHRYSLER,PT CRUISER,SUBCOMPACT,2.4,4,M5,X,269,13.2
CHRYSLER,SEBRING,COMPACT,2.5,6,A4,X,267,13.5
CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.5,6,A4,X,269,13.6
CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.5,6,AS4,X,288,14.7
CHRYSLER,TOWN & COUNTRY,MINIVAN,3.8,6,A4,X,304,15.2
CHRYSLER,TOWN & COUNTRY AWD,MINIVAN,3.8,6,A4,X,320,16.2
DAEWOO,LANOS,SUBCOMPACT,1.5,4,A4,X,216,11.3
DAEWOO,LANOS,SUBCOMPACT,1.5,4,M5,X,205,10.3
DAEWOO,LANOS,SUBCOMPACT,1.6,4,A4,X,225,11.6
DAEWOO,LANOS,SUBCOMPACT,1.6,4,M5,X,207,10.4
DAEWOO,LEGANZA,COMPACT,2.2,4,A4,X,265,13.4
DAEWOO,LEGANZA,COMPACT,2.2,4,M5,X,258,13.1
DAEWOO,NUBIRA,COMPACT,2,4,A4,X,239,12
DAEWOO,NUBIRA,COMPACT,2,4,M5,X,237,11.9
DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2,4,A4,X,239,12
DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2,4,M5,X,237,11.9
DODGE,CARAVAN,MINIVAN,3,6,A4,X,290,14.6
DODGE,CARAVAN,MINIVAN,3.3,6,A4,X,288,14.5
DODGE,CARAVAN,MINIVAN,3.8,6,A4,X,304,15.2
DODGE,CARAVAN FFV,MINIVAN,3.3,6,A4,X,288,14.5
DODGE,CARAVAN FFV,MINIVAN,3.3,6,A4,E,283,20.6
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,A4,X,331,16.3
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,M5,X,329,16.8
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,A4,X,357,17.6
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,M5,X,363,18.3
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,5.9,8,A4,X,423,20.8
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,A4,X,375,18.1
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,M5,X,386,19.1
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,A4,X,370,18.3
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,M5,X,382,18.8
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,444,22.3
DODGE,DURANGO 4X4,SUV,4.7,8,A4,X,389,19.3
DODGE,DURANGO 4X4,SUV,5.9,8,A4,X,444,22.3
DODGE,DURANGO 5.9 R/T 4X4,SUV,5.9,8,A4,Z,444,22.3
DODGE,GRAND CARAVAN,MINIVAN,3,6,A4,X,290,14.6
DODGE,GRAND CARAVAN,MINIVAN,3.3,6,A4,X,288,14.5
DODGE,GRAND CARAVAN,MINIVAN,3.8,6,A4,X,304,15.2
DODGE,GRAND CARAVAN,MINIVAN,3.8,6,AS4,X,308,15.5
DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,A4,X,320,16.2
DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,AS4,X,324,16.4
DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,A4,X,288,14.5
DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,A4,E,283,20.6
DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,A4,X,350,17.3
DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,M5,X,345,17.4
DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,396,20
DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,M5,X,396,20.2
DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.9,8,A4,X,416,21.5
DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,A4,X,435,21.6
DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,M5,X,437,22.1
DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,426,21.6
DODGE,RAM 1500 VAN,VAN - CARGO,3.9,6,A3,X,377,17.6
DODGE,RAM 1500 VAN,VAN - CARGO,5.2,8,A4,X,386,19.6
DODGE,RAM 1500 VAN,VAN - CARGO,5.9,8,A4,X,423,20.8
DODGE,RAM 1500 WAGON,VAN - PASSENGER,3.9,6,A3,X,393,18.3
DODGE,RAM 1500 WAGON,VAN - PASSENGER,5.2,8,A4,X,393,20
DODGE,RAM 2500 VAN,VAN - CARGO,5.2,8,A4,X,393,20
DODGE,RAM 2500 VAN,VAN - CARGO,5.9,8,A4,X,416,21.5
DODGE,RAM 2500 VAN NGV,VAN - CARGO,5.2,8,A4,N,353,20.8
DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.2,8,A4,X,444,21.8
DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.9,8,A4,X,423,21.8
DODGE,VIPER GTS,SUBCOMPACT,8,10,M6,Z,396,21.4
DODGE,VIPER RT/10,SUBCOMPACT,8,10,M6,Z,396,21.4
FERRARI,360 MODENA F1,TWO-SEATER,3.6,8,AS6,Z,474,24.6
FERRARI,360 MODENA F1,TWO-SEATER,3.6,8,M6,Z,472,24.1
FERRARI,456 MGT,SUBCOMPACT,5.5,12,A4,Z,513,26.7
FERRARI,456 MGT,SUBCOMPACT,5.5,12,M6,Z,495,26.3
FERRARI,456 MGTA,SUBCOMPACT,5.5,12,A4,Z,513,26.7
FERRARI,456 MGTA,SUBCOMPACT,5.5,12,M6,Z,495,26.3
FERRARI,550 MARANELLO,SUBCOMPACT,5.5,12,M6,Z,582,30.2
FORD,COUGAR,COMPACT,2,4,M5,X,219,11.1
FORD,COUGAR,COMPACT,2.5,6,A4,X,260,13.1
FORD,COUGAR,COMPACT,2.5,6,M5,X,260,13.3
FORD,CROWN VICTORIA,FULL-SIZE,4.6,8,A4,X,299,15.1
FORD,E150 CLUB WAGON,VAN - PASSENGER,4.2,6,A4,X,393,19.1
FORD,E150 CLUB WAGON,VAN - PASSENGER,4.6,8,A4,X,382,18.8
FORD,E150 CLUB WAGON,VAN - PASSENGER,5.4,8,A4,X,403,19.9
FORD,E150 VAN,VAN - CARGO,4.2,6,A4,X,389,19
FORD,E150 VAN,VAN - CARGO,4.6,8,A4,X,359,17.8
FORD,E150 VAN,VAN - CARGO,5.4,8,A4,X,363,17.9
FORD,E250 VAN,VAN - CARGO,4.2,6,A4,X,391,19.1
FORD,E250 VAN,VAN - CARGO,5.4,8,A4,X,403,20.2
FORD,ESCORT ZX2,COMPACT,2,4,A4,X,216,10.6
FORD,ESCORT ZX2,COMPACT,2,4,M5,X,216,10.6
FORD,EXPEDITION,SUV,4.6,8,A4,X,359,17.8
FORD,EXPEDITION,SUV,5.4,8,A4,X,403,20.2
FORD,EXPEDITION 4X4,SUV,4.6,8,A4,X,391,19.3
FORD,EXPEDITION 4X4,SUV,5.4,8,A4,X,426,21.1
FORD,EXPLORER,SUV,4,6,M5,X,304,14.9
FORD,EXPLORER,SUV,5,8,A4,X,368,18.4
FORD,EXPLORER 4X4,SUV,4,6,M5,X,336,16.4
FORD,EXPLORER 4X4,SUV,5,8,A4,X,373,18.7
FORD,EXPLORER OHV,SUV,4,6,A5,X,357,17.1
FORD,EXPLORER OHV 4X4,SUV,4,6,A5,X,352,17.3
FORD,EXPLORER SOHC,SUV,4,6,A5,X,336,16.5
FORD,EXPLORER SOHC 4X4,SUV,4,6,A5,X,343,16.7
FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,A4,X,340,16.7
FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,M5,X,334,16.3
FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,A4,X,345,17
FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,M5,X,354,17.8
FORD,F150,PICKUP TRUCK - STANDARD,5.4,8,A4,X,363,17.9
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,A4,X,359,17.3
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,M5,X,373,18
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,A4,X,380,18.5
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,M5,X,380,18.8
FORD,F150 4X4,PICKUP TRUCK - STANDARD,5.4,8,A4,X,423,20.7
FORD,FOCUS SEDAN,COMPACT,2,4,A4,X,221,10.8
FORD,FOCUS SEDAN,COMPACT,2,4,M5,X,216,10.8
FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2,4,A4,X,219,10.6
FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2,4,M5,X,216,10.9
FORD,GRAND MARQUIS,FULL-SIZE,4.6,8,A4,X,297,15
FORD,MUSTANG,SUBCOMPACT,3.8,6,A4,X,267,13.4
FORD,MUSTANG,SUBCOMPACT,3.8,6,M5,X,267,13.6
FORD,MUSTANG,SUBCOMPACT,4.6,8,A4,X,301,15.1
FORD,MUSTANG,SUBCOMPACT,4.6,8,M5,X,304,15.4
FORD,MUSTANG #,SUBCOMPACT,4.6,8,M5,X,308,15.7
FORD,RANGER,PICKUP TRUCK - STANDARD,3,6,A4,X,315,15.7
FORD,RANGER,PICKUP TRUCK - STANDARD,3,6,M5,X,322,16.2
FORD,RANGER,PICKUP TRUCK - STANDARD,4,6,A5,X,354,17
FORD,RANGER,PICKUP TRUCK - STANDARD,4,6,M5,X,306,14.9
FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,3,6,A4,X,336,16.4
FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,3,6,M5,X,320,15.5
FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,4,6,A5,X,357,17.3
FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,4,6,M5,X,340,16.5
FORD,TAURUS,MID-SIZE,3,6,A4,X,267,13.6
FORD,TAURUS #,MID-SIZE,3,6,A4,X,265,13.5
FORD,TAURUS WAGON,STATION WAGON - MID-SIZE,3,6,A4,X,278,14.2
FORD,TAURUS WAGON #,STATION WAGON - MID-SIZE,3,6,A4,X,276,14
FORD,WINDSTAR VAN,VAN - CARGO,3,6,A4,X,311,15.6
FORD,WINDSTAR VAN,VAN - CARGO,3.8,6,A4,X,304,14.9
FORD,WINDSTAR WAGON,MINIVAN,3,6,A4,X,311,15.6
FORD,WINDSTAR WAGON,MINIVAN,3.8,6,A4,X,311,15.5
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A4,X,368,17.7
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.3,6,M5,X,384,18.5
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,A4,X,334,16.3
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,M5,X,373,18.9
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A4,X,343,16.7
GMC,C1500 YUKON,SUV,4.8,8,A4,X,391,18.7
GMC,C1500 YUKON,SUV,5.3,8,A4,X,391,18.9
GMC,C1500 YUKON XL,SUV,5.3,8,A4,X,391,18.9
GMC,C2500 SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A4,X,373,17.9
GMC,C2500 SIERRA,PICKUP TRUCK - STANDARD,6,8,A4,X,435,21.4
GMC,G15/G25 SAVANA CARGO,VAN - CARGO,4.3,6,A4,X,368,17.8
GMC,G15/G25 SAVANA CARGO,VAN - CARGO,5,8,A4,X,373,18.2
GMC,G15/G25 SAVANA CARGO,VAN - CARGO,5.7,8,A4,X,396,19.1
GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,4.3,6,A4,X,380,18.3
GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,5,8,A4,X,377,18.3
GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,5.7,8,A4,X,426,20.6
GMC,JIMMY,SUV,4.3,6,A4,X,336,16.2
GMC,JIMMY,SUV,4.3,6,M5,X,327,16.3
GMC,JIMMY 4X4,SUV,4.3,6,A4,X,350,17
GMC,JIMMY 4X4,SUV,4.3,6,M5,X,386,18.7
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,350,17
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,386,18.7
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,366,17.3
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,407,20.2
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,377,18
GMC,K1500 YUKON 4X4,SUV,4.8,8,A4,X,391,18.7
GMC,K1500 YUKON 4X4,SUV,5.3,8,A4,X,391,18.9
GMC,K1500 YUKON 4X4,SUV,5.7,8,A4,X,430,21.2
GMC,SAFARI CARGO,VAN - CARGO,4.3,6,A4,X,336,16.2
GMC,SAFARI CARGO AWD,VAN - CARGO,4.3,6,A4,X,350,17
GMC,SAFARI PASSENGER,VAN - PASSENGER,4.3,6,A4,X,368,17.7
GMC,SAFARI PASSENGER AWD,VAN - PASSENGER,4.3,6,A4,X,359,17.4
GMC,SONOMA,PICKUP TRUCK - SMALL,2.2,4,A4,X,278,13.8
GMC,SONOMA,PICKUP TRUCK - SMALL,2.2,4,M5,X,246,12.2
GMC,SONOMA,PICKUP TRUCK - SMALL,4.3,6,A4,X,313,15.4
GMC,SONOMA,PICKUP TRUCK - SMALL,4.3,6,M5,X,322,16.2
GMC,SONOMA 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,345,16.8
GMC,SONOMA 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,329,16.3
HONDA,ACCORD,MID-SIZE,3,6,A4,X,260,13
HONDA,ACCORD DX,MID-SIZE,2.3,4,A4,X,246,12.2
HONDA,ACCORD DX,MID-SIZE,2.3,4,M5,X,235,11.5
HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,A4,X,237,11.8
HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,M5,X,221,10.8
HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,A4,X,216,10.5
HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,M5,X,205,9.8
HONDA,CIVIC COUPE SiR,SUBCOMPACT,1.6,4,M5,Z,223,10.9
HONDA,CIVIC CX/DX/LX/EX,SUBCOMPACT,1.6,4,A4,X,202,10
HONDA,CIVIC CX/DX/LX/EX,SUBCOMPACT,1.6,4,M5,X,184,8.8
HONDA,CR-V,SUV,2,4,A4,X,267,12.5
HONDA,CR-V,SUV,2,4,M5,X,267,12.5
HONDA,INSIGHT,SUBCOMPACT,1,3,M5,X,104,4.9
HONDA,ODYSSEY,MINIVAN,3.5,6,A4,X,292,14.9
HONDA,PRELUDE,SUBCOMPACT,2.2,4,AS4,Z,260,12.7
HONDA,PRELUDE,SUBCOMPACT,2.2,4,M5,Z,251,12
HONDA,S2000,SUBCOMPACT,2,4,M6,Z,269,13.1
HYUNDAI,ACCENT,COMPACT,1.5,4,A4,X,209,10.5
HYUNDAI,ACCENT,COMPACT,1.5,4,M5,X,198,9.7
HYUNDAI,ELANTRA,COMPACT,2,4,A4,X,242,12.2
